NatEmis,Province,name
200100106,EC,CEBE JUNIOR SECONDARY SCHOOL
200100107,EC,CEBELIHLE PRIMARY SCHOOL ( KEISKAMMHOEK)
200600094,EC,CEBOLETHU HIGH SCHOOL
200600095,EC,CECILIA MAKIWANE HOSPITAL SCHOOL
200400070,EC,CEDARBERG PRIMARY SCHOOL
200600096,EC,CEDARVILLE GI P
200300043,EC,CEDARVILLE PUBLIC
200100109,EC,CEDERVILLE JUNIOR SECONDARY SCHOOL
200601008,EC,CEFANE HOEK JUNIOR SECONDARY SCHOOL
200200078,EC,CEFANE PRIMARY SCHOOL
200100110,EC,CEFANE PJS SCHOOL
200501573,EC,CEGCUANA JUNIOR SECONDARY SCHOOL
200501574,EC,CEKWAYO SENIOR PRIMARY SCHOOL
200500086,EC,CELETYUMA PRIMARY SCHOOL
200400071,EC,CELINKUNGU JUNIOR SECONDARY SCHOOL
200200079,EC,CENTRAL PRIMARY SCHOOL
200400072,EC,CENTRE OF EXCELLENCE
200300044,EC,CENTULI JUNIOR SECONDARY SCHOOL
200400073,EC,CENYU PUBLIC SCHOOL
200200080,EC,CERU JUNIOR SECONDARY SCHOOL
200500087,EC,CETSHE JUNIOR SECONDARY SCHOOL
200200081,EC,CETYWAYO JUNIOR SECONDARY SCHOOL
200201069,EC,CEZU JUNIOR SECONDARY SCHOOL
200400074,EC,CHAPMAN SENIOR SCHOOL
200200082,EC,CHARISMA LEARNING CENTRE
200300046,EC,CHARLES DUNA PUBLIC SCHOOL
200500088,EC,CHARLES MORGAN PUB SCHOOL
200500089,EC,CHARLO PRIMARY SCHOOL
200400075,EC,CHATTY SENIOR SCHOOL
200100111,EC,CHEBENCA PRIMARY FARM SCHOOL
200201037,EC,CHEVY CHASE JUNIOR SECONDARY SCHOOL
200100112,EC,CHIEF DUMILE SENIOR SECONDARY SCHOOL
200200083,EC,CHIEF HENRY BOKLENI SENIOR SECONDARY SCHOOL
200100113,EC,CHIEF MALEFANE JUNIOR SECONDARY SCHOOL
200100114,EC,CHIEF N.Z. MTIRARA SENIOR SECONDARY SCHOOL
200400076,EC,CHIGWELL PRIMARY SCHOOL
200500091,EC,CHILD'S WORLD PRIMARY SCHOOL
200501404,EC,CHIZELA JUNIOR SECONDARY SCHOOL
200401325,EC,CHOLAPHANTSI JUNIOR SECONDARY SCHOOL
200600101,EC,CHRIS HANI PUBLIC PRIMARY SCHOOL
