name,region,province
Cowie Bush Primary School,Bedford,Eastern Cape
Coza Junior Secondary School,Mthatha,Eastern Cape
Crab Bush Primary School,Hogsback,Eastern Cape
Cradock High School,Cradock,Eastern Cape
Cradock Preparatory School,Cradock,Eastern Cape
Cradock Primary School,Cradock,Eastern Cape
Cranberry Primary School,East London,Eastern Cape
Crewe Primary School,East London,Eastern Cape
Critchlow Junior Secondary School,Bizana,Eastern Cape
Cube Senior Primary School,Cofimvaba,Eastern Cape
Cumming Memorial Primary School,Stutterheim,Eastern Cape
Cungcwini Junior Secondary School,Idutywa,Eastern Cape
Cunningham Senior Secondary School,Butterworth,Eastern Cape
